"id","code","name","description","created_at"
1,"user.list","List Users","View list of users","2025-11-03 11:07:01.258354+00"
2,"user.create","Create User","Create new users","2025-11-03 11:07:01.258354+00"
3,"user.retrieve","Retrieve User","View user details","2025-11-03 11:07:01.258354+00"
4,"user.update","Update User","Update user information","2025-11-03 11:07:01.258354+00"
5,"user.delete","Delete User","Delete users","2025-11-03 11:07:01.258354+00"
6,"user.assign-role","Assign Roles","Assign roles to users","2025-11-03 11:07:01.258354+00"
7,"user.view-permissions","View Permissions","View user permissions","2025-11-03 11:07:01.258354+00"
8,"role.list","List Roles","View list of roles","2025-11-03 11:07:01.258354+00"
9,"role.create","Create Role","Create new roles","2025-11-03 11:07:01.258354+00"
10,"role.retrieve","Retrieve Role","View role details","2025-11-03 11:07:01.258354+00"
11,"role.update","Update Role","Update role information","2025-11-03 11:07:01.258354+00"
12,"role.delete","Delete Role","Delete roles","2025-11-03 11:07:01.258354+00"
13,"permission.list","List Permissions","View list of permissions","2025-11-03 11:07:01.258354+00"
14,"permission.create","Create Permission","Create new permissions","2025-11-03 11:07:01.258354+00"
15,"permission.delete","Delete Permission","Delete permissions","2025-11-03 11:07:01.258354+00"
16,"*","All Permissions","Full access to all resources","2025-11-03 11:07:01.258354+00"
